year,reefName,dhw
1986,U/N Reef (12-003d),2.63
1986,Moody Reef (12-004),2.18
1986,Young Reef (12-005),2.01
1986,Laurel Reef (12-006),2.19
1986,Fison Reefs (12-027c),2.67
1986,U/N Reef (12-028),2.37
1986,U/N Reef (12-029),2.37
1986,U/N Reef (12-030),2.14
1986,U/N Reef (12-031),2.55
1986,U/N Reef (12-032),2.58
1986,U/N Reef (12-033),2.27
1986,U/N Reef (12-034),2.54
1986,U/N Reef (12-035),2.54
1986,U/N Reef (12-036),2.27
1986,Wishbone Reef (12-037),2.91
1986,U/N Reef (12-038a),2.72
1986,U/N Reef (12-038b),2.72
1986,U/N Reef (12-039),2.55
1986,U/N Reef (12-040),2.55
1986,U/N Reef (12-041),2.57
1986,U/N Reef (12-042),2.55
1986,Martha Ridgway Reef (North) (12-043a),2.57
1986,Martha Ridgway Reef (South) (12-043b),2.57
1986,Piper Reef (12-012),1.89
1986,Inset Reef (12-013),2.09
1986,Hazel Reef (12-014),2.07
1986,Ada Reef (12-015),1.56
1986,Gallon Reef (12-016a),2.53
1986,Forbes Islands Reef (12-016b),2.58
1986,U/N Reef (12-016c),2.81
1986,Lion Reef (12-017),1.56
1986,Daniell Reef (12-018),1.56
1986,North Pint Patch (12-019),1.97
1986,South Pint Patch (12-020),2.24
1986,Andrew Reef (12-021),1.56
1986,U/N Reef (12-022),1.56
1986,Kangaroo Shoals (12-023),1.73
1986,U/N Reef (12-024),2.5
1986,U/N Reef (12-025),1.69
1986,Kemp Rocks Reef (12-026),1.73
1986,Quoin Reef (12-027),2.25
1986,Eel Reef (12-027a),2.01
1986,Dolphin Reef (12-096),1.01
1986,U/N Reef (12-097),1.25
1986,Second Small Reef (12-098),1.25
1986,Southern Small Detached Reef (12-099),0.94
1986,U/N Reef (12-100),1.22
1986,U/N Reef (12-101),1.07
1986,U/N Reef (12-044),2.53
1986,U/N Reef (12-045),2.53
1986,U/N Reef (12-046),2.69
1986,U/N Reef (12-047),2.53
1986,U/N Reef (12-048),2.53
1986,U/N Reef (12-049),2.66
1986,U/N Reef (12-050),2.66
1986,U/N Reef (12-051),2.51
1986,William Reef (East) (12-052a),2.71
1986,William Reef (West) (12-052b),2.66
1986,Henry Reef (12-053),2.66
1986,Lloyds Reef (12-054),2.71
1986,U/N Reef (12-055a),2.71
1986,U/N Reef (12-055b),2.71
1986,Mantis Reef (12-056),2.34
1986,U/N Reef (12-057),2.72
1986,Ferguson Reef (12-058),2.27
1986,U/N Reef (12-059),2.2
1986,U/N Reef (12-060),2.64
1986,Lagoon Reef (12-061),2.2
1986,U/N Reef (12-062),1.87
1986,U/N Reef (12-063),1.7
1986,U/N Reef (12-064),2.38
1986,U/N Reef (12-065),2.42
1986,U/N Reef (12-066),2.38
1986,Northern Small Detached Reef (12-067),1.55
1986,U/N Reef (12-068),1.7
1986,U/N Reef (12-069),1.49
1986,U/N Reef (12-070),1.49
1986,U/N Reef (12-071),1.49
1986,Middle Reef (12-072),1.34
1986,Pigeon Reef (12-073),1.19
1986,U/N Reef (12-075),1.17
1986,Rocky Island Reef (12-076),1.31
1986,U/N Reef (12-077),0.84
1986,Restoration Island Reef (12-078),0.84
1986,U/N Reef (12-080),0.84
1986,Edward Shoal (12-081),0.68
1986,U/N Reef (12-082),0.68
1986,U/N Reef (12-083),0.67
1986,Lloyd Island Reef (12-084),0.66
1986,Hazelgrove Reefs (12-085),0.65
1986,May Reef (12-086),0.65
1986,U/N Reef (12-087),0.66
1986,Sunter Reef (12-088),0.66
