reefName,year,sst
U/N Reef (11-149),1981,29.2202898661296
U/N Reef (11-150),1981,29.1869238535563
U/N Reef (11-151),1981,29.1903797785441
U/N Reef (11-152),1981,29.2041753711122
U/N Reef (11-153),1981,29.2027784430462
U/N Reef (11-154),1981,29.1450037161509
U/N Reef (11-155),1981,29.1153950390515
Wizard Reef (11-156),1981,29.1536057591438
Bird Islands Reef (South) (11-169),1981,29.1660327034435
Chimmo Shoal (11-170),1981,29.1237596839365
Guthray Reef (11-171),1981,29.1237596839365
U/N Reef (11-172),1981,29.1750373840332
Cockburn Reef (11-173),1981,29.1103348731995
Magra Reef (11-174),1981,29.11925845676
U/N Reef (11-175),1981,29.11925845676
Rodney Reef (11-176),1981,29.1737159093221
U/N Reef (11-177),1981,29.1643892688516
Cockburn Patch (11-178),1981,29.1186592625637
Erlangen Patch (11-179),1981,29.1186592625637
Paluma Shoal (11-180),1981,29.1186592625637
U/N Reef (11-159),1981,29.1124515003628
U/N Reef (11-160),1981,29.0620798988948
Viking Reef (11-161),1981,29.1591978669167
U/N Reef (11-162),1981,29.0959420789752
U/N Reef (11-163),1981,29.0543240391931
U/N Reef (11-164),1981,29.0761822801295
Thrush Reef (11-165),1981,29.1209325694075
Forwood Reef (11-166),1981,29.1167788369315
Bird Islands Reef (North) (11-167),1981,29.1658179419381
Fairway Reef (11-168),1981,29.1167788369315
Three Reefs (11-223),1981,29.034571639493
U/N Reef (11-224),1981,29.0458788057653
U/N Reef (11-225),1981,29.0458788057653
U/N Reef (11-226),1981,29.0458788057653
U/N Reef (11-227),1981,29.0432589848836
Wood Reef (11-228),1981,29.034571639493
Sunday Reef (11-181),1981,29.142543033887
Bremner Shoal (11-182),1981,29.1361568967501
Outer Reef (11-183),1981,29.1361568967501
Queue Reef (11-184a),1981,29.1109306723983
Wreck Reef (11-184b),1981,29.1005704779374
Sir Charles Hardy Islands Reef (11-184c),1981,29.0924271366052
Nob Reef (11-185),1981,29.1355272928874
U/N Reef (11-186),1981,29.1355272928874
Harvey Reef (11-187),1981,29.1355272928874
Clerke Reef (11-188),1981,29.1355272928874
Perry Reef (11-189),1981,29.1355272928874
Cape Grenville Reef (No 1) (11-190a),1981,29.1361568967501
Cape Grenville Reef (No 2) (11-190b),1981,29.1355272928874
Cape Grenville Reef (No 3) (11-190c),1981,29.1355272928874
Hicks Reef (11-191),1981,29.1355272928874
Middle Reef (11-192),1981,29.1355272928874
Twin Reefs (North) (11-193a),1981,29.1355272928874
Twin Reefs (South) (11-193b),1981,29.1355272928874
Gore Reef (11-194),1981,29.1355272928874
South Reef (11-195),1981,29.1355272928874
U/N Reef (11-196),1981,28.9714991251628
U/N Reef (11-197),1981,29.0187163035075
Siddons Reef (11-200),1981,29.0342811692691
U/N Reef (11-201),1981,29.0187163035075
U/N Reef (11-202),1981,29.0135408603784
