reefName,year,chlA
U/N Reef (12-048),2002,0.329877277317318
U/N Reef (12-049),2002,0.32700377064279
U/N Reef (12-050),2002,0.325844394773695
U/N Reef (12-051),2002,0.328329859633992
William Reef (East) (12-052a),2002,0.320857593994366
William Reef (West) (12-052b),2002,0.321370378070429
Henry Reef (12-053),2002,0.323456068146047
Lloyds Reef (12-054),2002,0.317844059023836
U/N Reef (12-055a),2002,0.315683053160752
U/N Reef (12-055b),2002,0.316213318561441
Mantis Reef (12-056),2002,0.310649822953493
U/N Reef (12-057),2002,0.328200406056261
Ferguson Reef (12-058),2002,0.309820532576236
U/N Reef (12-059),2002,0.310930686539889
U/N Reef (12-060),2002,0.326305243733925
Lagoon Reef (12-061),2002,0.311331472659679
U/N Reef (12-062),2002,0.30886180957213
U/N Reef (12-063),2002,0.306751157087308
U/N Reef (12-064),2002,0.320756794884997
U/N Reef (12-065),2002,0.324873072052565
U/N Reef (12-066),2002,0.318375812628373
Northern Small Detached Reef (12-067),2002,0.301086789809237
U/N Reef (12-068),2002,0.305416973220214
U/N Reef (12-069),2002,0.302185615374381
U/N Reef (12-070),2002,0.300699307671593
U/N Reef (12-071),2002,0.29991325518299
Middle Reef (12-072),2002,0.336513904618567
Pigeon Reef (12-073),2002,0.355754503009048
U/N Reef (12-075),2002,0.341818468026572
Rocky Island Reef (12-076),2002,0.331405197757672
U/N Reef (12-077),2002,0.322795813677915
Restoration Island Reef (12-078),2002,0.321349542174864
U/N Reef (12-080),2002,0.321988078185434
Edward Shoal (12-081),2002,0.318053594028938
U/N Reef (12-082),2002,0.320252848448313
U/N Reef (12-083),2002,0.321717354458587
Lloyd Island Reef (12-084),2002,0.316783237183749
Hazelgrove Reefs (12-085),2002,0.305956200701608
May Reef (12-086),2002,0.307245990145728
U/N Reef (12-087),2002,0.319005049133932
Sunter Reef (12-088),2002,0.312095430533717
Exit Reef (12-089),2002,0.305212290560572
Waight Bank (12-091),2002,0.30666636525655
U/N Reef (12-092),2002,0.29598060782597
Bunker Reef (12-093),2002,0.31096923692175
Long Sandy Reef (12-094),2002,0.292391526456824
U/N Reef (12-095),2002,0.291146774735428
Sunk Reef (12-122),2002,0.286410686256709
U/N Reef (12-123),2002,0.27598004841225
U/N Reef (12-124),2002,0.289151589512048
Rocky Island Reef (12-125),2002,0.293056143848349
Frederick Patches (12-126),2002,0.287919528296419
U/N Reef (12-127),2002,0.272038349728523
Chapman Reef (12-129),2002,0.288922455787181
U/N Reef (12-130),2002,0.273362015456239
U/N Reef (12-131),2002,0.29293848641045
Allen Reef (12-132),2002,0.291753344997521
U/N Reef (12-133),2002,0.282156190138494
U/N Reef (12-134),2002,0.270304104798509
U/N Reef (12-135),2002,0.270206048735616
Hammond Reef (12-136),2002,0.290308506402976
U/N Reef (12-137),2002,0.268852462012434
U/N Reef (12-138),2002,0.286335651586408
U/N Reef (12-139),2002,0.277611875039938
U/N Reef (12-141),2002,0.268154449745336
