year,reefName,cycImpact
1980,Virginia Chadwick Reef (18-016),0
1980,Reg Ward Reef (18-017),0
1980,Otter Reef (18-018),0
1980,Undine Reef (West) (16-020a),0
1980,Undine Reef (East) (16-020b),0
1980,U/N Reef (16-022a),0
1980,U/N Reef (16-022b),0
1980,Rudder Reef (16-023),0
1980,Chinaman Reef (16-024),0
1980,Moore Reef (16-071),0
1980,North West Reef (16-072),0
1980,Elford Reef (16-073),0
1980,Briggs Reef (16-074),0
1980,Channel Reef (16-075),0
1980,U/N Reef (16-076),0
1980,McCulloch Reef (No 1) (17-016a),0
1980,McCulloch Reef (No 2) (17-016b),0
1980,Gibson Reef (17-017),0
1980,Howie Reef (17-018a),0
1980,Barnett Patches (18-019),0
1980,Duncan Reef (18-020),0
1980,U/N Reef (18-021),0
1980,U/N Reef (18-022),0
1980,Opal Reef (16-025),0
1980,Tongue Reef (16-026),0
1980,U/N Reef (16-027),0
1980,Low Islands Reef (16-028),0
1980,U/N Reef (16-077),0
1980,U/N Reef (16-078),0
1980,Outer Shoal (16-079),0
1980,Korea Reef (16-080),0
1980,Yule Reef (16-081),0
1980,Garioch Reef (16-082),0
1980,U/N Reef (16-083),0
1980,U/N Reef (16-084),0
1980,Arthur Patches (17-018b),0
1980,U/N Reef (17-020a),0
1980,U/N Reef (17-020b),0
1980,U/N Reef (17-021a),0
1980,U/N Reef (17-021b),0
1980,Cayley Reef (17-023),0
1980,U/N Reef (18-023),0
1980,Britomart Reef (18-024),0
1980,U/N Reef (18-025),0
1980,Batt Reef (16-029),0
1980,Norman Reef (16-030),0
1980,Satellite Reef (16-031),0
1980,Saxon Reef (16-032),0
1980,Linden Bank (16-033),0
1980,Spur Reef (16-034),0
1980,U/N Reef (16-085),0
1980,U/N Reef (16-086),0
1980,U/N Reef (16-087),0
1980,U/N Reef (16-088),0
1980,Peart Reef (17-024),0
1980,U/N Reef (17-025),0
1980,U/N Reef (17-026),0
1980,Raaf Shoals (17-027),0
1980,Publican Shoals (North) (17-028),0
1980,Mustard Patches (North) (17-029a),0
1980,Mustard Patches (South) (17-029b),0
1980,Walker Reef (18-026),0
1980,Trunk Reef (18-027),0
1980,U/N Reef (18-028),0
1980,Bramble Reef (18-029),0
1980,Kelso Reef (18-030),0
1980,Little Kelso Reef (18-031),0
1980,Onyx Reef (16-035),0
1980,Nicholas Reef (16-036),0
1980,Wentworth Reef (16-037),0
1980,Egmont Reef (16-038),0
1980,Alexandra Reefs (No 1) (16-039a),0
1980,Alexandra Reefs (No 2) (16-039b),0
1980,Pixie Reef (16-040),0
1980,Jorgensen Patch (16-041),0
1980,U/N Reef (16-089),0
1980,U/N Reef (16-090),0
1980,U/N Reef (16-091),0
1980,U/N Reef (16-092),0
1980,U/N Reef (16-093),0
1980,U/N Reef (16-094),0
1980,U/N Reef (16-095),0
1980,Publican Shoals (South) (17-030),0
1980,U/N Reef (17-031),0
1980,Wardle Reef (17-032),0
1980,U/N Reef (17-033),0
1980,Feather Reef (17-034),0
1980,Nathan Reef (17-035),0
1980,U/N Reef (15-059b),0
1980,U/N Reef (15-059c),0
1980,U/N Reef (15-059d),0
1980,U/N Island (15-059e),0
1980,Ottaway Patch (15-060),0
1980,Stonor Patch (15-061),0
1980,Delius Patch (15-062),0
1980,Gubbins Reef (15-063),0
1980,Breaking Patches (16-042),0
1980,Oyster Reef (16-043a),0
1980,U/N Reef (16-043b),0
1980,U/N Reef (16-044a),0
1980,Vlasoff Reef (16-044b),0
1980,Unity Reef (No 1) (16-045a),0
1980,Unity Reef (No 2) (16-045b),0
1980,U/N Reef (16-096),0
1980,U/N Reef (16-097),0
1980,U/N Reef (16-098),0
1980,U/N Reef (16-099),0
1980,Hall-Thompson Reef (17-037),0
1980,Surprise Shoal (17-038),0
1980,U/N Reef (17-039),0
1980,Lindquist Reef (17-040),0
1980,Goudge Bank (17-041),0
1980,Hope Islands Reef (West) (15-064),0
1980,Hope Islands Reef (East) (15-065),0
1980,U/N Reef (15-066),0
1980,U/N Reef (15-067),0
1980,Upolu Reef (16-046),0
1980,Double Island Reef (16-047),0
1980,U/N Reef (16-100),0
1980,U/N Reef (16-102),0
1980,U/N Reef (16-103),0
1980,U/N Reef (16-104),0
1980,Adelaide Reef (17-042),0
1980,Jessie-Kent Reef (17-043a),0
1980,Bresnahan Reef (17-043b),0
1980,Hutchison Reef (17-043c),0
1980,Ellison Reef (17-044),0
1980,Lake Reef (15-068),0
1980,U/N Reef (15-069),0
1980,Vicki Harriott Reef (15-070),0
1980,U/N Reef (15-071a),0
1980,U/N Reef (15-071b),0
1980,U/N Reef (15-071c),0
1980,U/N Reef (15-072),0
1980,U/N Reef (15-073),0
1980,U/N Reef (15-074),0
